date,open,high,close,low,volume,amount
2015-12-31,12.77,12.95,12.62,12.6,6190211.0,88870328.0
2015-12-30,12.62,12.71,12.69,12.48,6470076.0,91547817.0
2015-12-29,12.48,12.59,12.57,12.24,6306987.0,88044903.0
2015-12-28,12.99,13.03,12.45,12.44,10524016.0,151345250.0
2015-12-25,12.82,13.04,12.91,12.8,6147851.0,89193231.0
2015-12-24,12.95,12.97,12.8,12.63,7970392.0,114312336.0
2015-12-23,13.31,13.34,12.97,12.91,13775511.0,202988992.0
2015-12-22,12.84,13.33,13.31,12.73,18022132.0,264162289.0
2015-12-21,12.64,12.96,12.83,12.56,11136395.0,159297584.0
2015-12-18,13.03,13.03,12.73,12.61,10973101.0,157400192.0
2015-12-17,12.77,12.98,12.95,12.64,11788773.0,170156768.0
2015-12-16,12.61,12.79,12.62,12.55,8871988.0,126472608.0
2015-12-15,12.53,12.64,12.52,12.38,8151614.0,114611864.0
2015-12-14,11.92,12.53,12.51,11.84,9808201.0,134769088.0
2015-12-11,12.23,12.24,11.91,11.82,9840183.0,132210880.0
2015-12-10,12.39,12.49,12.27,12.22,7444576.0,103473712.0
2015-12-09,12.46,12.68,12.35,12.3,8360752.0,117001001.0
2015-12-08,13.05,13.05,12.54,12.5,10629461.0,152054976.0
2015-12-07,12.92,13.17,13.07,12.84,10580937.0,154903015.0
2015-12-04,13.03,13.14,12.88,12.77,11540400.0,168386688.0
2015-12-03,12.84,13.1,13.05,12.84,11339534.0,165333853.0
2015-12-02,13.17,13.23,12.81,12.22,12967111.0,185907760.0
2015-12-01,13.13,13.48,13.25,12.98,15957658.0,237859234.0
2015-11-30,12.91,13.25,13.12,12.12,18720422.0,270075872.0
2015-11-27,14.41,14.41,13.02,13.02,22928672.0,353549696.0
2015-11-26,15.28,15.28,14.46,14.45,22154484.0,367547296.0
2015-11-25,15.29,15.36,15.11,14.83,22217200.0,376445024.0
2015-11-24,14.89,15.36,15.11,14.69,26128468.0,440985472.0
2015-11-23,15.33,15.39,15.13,14.48,29495176.0,494168096.0
2015-11-20,15.6,15.93,15.45,15.05,41731172.0,723215488.0
2015-11-19,14.7,15.73,15.64,14.38,49333924.0,837073088.0
2015-11-18,14.91,15.27,14.75,14.41,42736092.0,706421696.0
2015-11-17,13.95,15.17,15.11,13.72,58392048.0,955487680.0
2015-11-16,12.91,13.84,13.79,12.83,21490172.0,323683168.0
2015-11-13,13.67,13.89,13.22,13.1,24313506.0,368351008.0
2015-11-12,13.37,14.22,13.9,13.1,36494780.0,557431168.0
2015-11-11,13.21,13.4,13.33,13.06,19863352.0,294908800.0
2015-11-10,13.35,13.59,13.27,13.02,26858050.0,401741472.0
2015-11-09,13.15,13.8,13.55,12.75,34089788.0,509347776.0
2015-11-06,12.69,13.32,13.16,12.69,28480320.0,417900256.0
2015-11-05,12.61,13.4,12.92,12.51,36493224.0,529571424.0
2015-11-04,12.02,12.62,12.61,12.02,20152942.0,280935296.0
2015-11-03,11.95,12.09,11.95,11.71,9537209.0,127672824.0
2015-11-02,12.06,12.39,11.92,11.87,12214288.0,165894640.0
2015-10-30,12.6,12.64,12.33,12.12,15987066.0,222003760.0
2015-10-29,12.57,12.89,12.64,12.33,23192572.0,329566944.0
2015-10-28,12.24,12.96,12.36,12.21,25415712.0,361157120.0
2015-10-27,12.47,12.64,12.47,11.66,20212564.0,278203648.0
2015-10-26,12.65,13.08,12.73,12.36,29019288.0,414132960.0
2015-10-23,11.9,12.68,12.36,11.58,25917468.0,348322880.0
2015-10-22,11.38,11.79,11.74,11.11,23145084.0,300478496.0
2015-10-21,12.64,13.08,11.3,11.3,33880792.0,469670720.0
2015-10-20,12.38,12.59,12.56,11.9,23076724.0,319704864.0
2015-10-19,12.5,12.86,12.6,12.28,31974404.0,452408128.0
2015-10-16,12.39,12.55,12.53,11.85,34803512.0,480341376.0
2015-10-15,11.16,12.24,12.19,11.15,31051560.0,411964480.0
2015-10-14,11.64,12.0,11.42,11.39,24387908.0,320897408.0
2015-10-13,11.48,11.82,11.66,11.36,21296644.0,277699584.0
2015-10-12,11.01,11.79,11.63,10.99,26531956.0,338583616.0
2015-10-09,10.59,10.81,10.72,10.49,13664620.0,163726304.0
2015-10-08,10.51,10.79,10.6,10.41,12770480.0,151848848.0
2015-09-30,10.13,10.26,10.09,9.99,6391962.0,72688288.0
2015-09-29,10.37,10.49,10.11,9.99,11315226.0,129498392.0
2015-09-28,10.59,10.68,10.63,10.14,10299513.0,121689288.0
2015-09-25,10.87,11.26,10.48,10.31,20112106.0,243493408.0
2015-09-24,10.61,10.98,10.95,10.61,19545908.0,238194112.0
2015-09-23,10.68,10.9,10.6,10.51,19680876.0,236677248.0
2015-09-22,10.9,11.39,11.05,10.5,26252604.0,323976928.0
2015-09-21,10.06,10.84,10.81,9.9,19046008.0,223927456.0
2015-09-18,10.19,10.4,10.25,9.85,15589172.0,177476528.0
2015-09-17,10.43,11.13,10.01,9.89,26767692.0,318511104.0
2015-09-16,9.47,10.41,10.41,9.45,21549472.0,240721248.0
2015-09-15,9.91,10.4,9.47,9.47,20892218.0,229110656.0
